FECHA,TotalA,TotalB,Total,<=30A,<=30B,<=30,31-40A,31-40B,31-40,41-50A,41-50B,41-50,51-60A,51-60B,51-60,61-70A,61-70B,61-70,71-80A,71-80B,71-80,>=81A,>=81B,>=81
2021-01-20,0.007892975979680366,0.0003482195285153103,0.008241195508195676,0.0036295225564347507,0.00011810087145135991,0.003747623427886111,0.018751083752384254,0.0007651291832842033,0.019516212935668457,0.01599375899019337,0.000815267046812259,0.01680902603700563,0.013435671170757117,0.0006832735851947176,0.014118944755951834,0.00016095890410958903,1.3698630136986302e-05,0.00017465753424657536,9.111077703826197e-06,4.555538851913098e-06,1.3666616555739295e-05,0.0,0.0,0.0
2021-01-21,0.007919637045355674,0.00042300056638507814,0.008342637611740754,0.003640334608046495,0.00015053702628659254,0.0037908716343330877,0.018798768857291485,0.0009255245361539796,0.019724293393445464,0.016047641582367742,0.0009862857089309226,0.017033927291298663,0.013493887305818549,0.0008150258908600667,0.014308913196678616,0.00017808219178082192,1.7123287671232875e-05,0.0001952054794520548,9.111077703826197e-06,4.555538851913098e-06,1.3666616555739295e-05,0.0,0.0,0.0
2021-01-22,0.007921262720091974,0.00044803595732408736,0.008369298677416061,0.003641998000602148,0.00016218077417616325,0.0038041787747783115,0.018798768857291485,0.0009840471649037628,0.019782816022195247,0.016054669746564398,0.0010471964653019535,0.01710186621186635,0.013493887305818549,0.0008426019548365353,0.014336489260655085,0.00017808219178082192,2.0547945205479453e-05,0.00019863013698630136,9.111077703826197e-06,4.555538851913098e-06,1.3666616555739295e-05,0.0,0.0,0.0
2021-01-23,0.007922888394828274,0.0005514288705527229,0.008474317265380997,0.0036428296968799745,0.00018796335878878409,0.0038307930556687585,0.01880527137159702,0.001250650251430553,0.02005592162302757,0.016057012467963285,0.0012720977195949904,0.017329110187558276,0.013493887305818549,0.0010386984097803106,0.01453258571559886,0.00017808219178082192,3.082191780821918e-05,0.0002089041095890411,9.111077703826197e-06,9.111077703826197e-06,1.8222155407652394e-05,0.0,0.0,0.0
2021-01-24,0.007923538664722793,0.0005936964136965047,0.008517235078419299,0.0036428296968799745,0.00020043880295618125,0.003843268499836156,0.01880527137159702,0.0013741980232356511,0.02017946939483267,0.01605935518936217,0.0013540929685559933,0.017413448157918163,0.013496951312927045,0.00110917057327573,0.014606121886202776,0.00017808219178082192,3.082191780821918e-05,0.0002089041095890411,9.111077703826197e-06,9.111077703826197e-06,1.8222155407652394e-05,0.0,0.0,0.0
2021-01-25,0.007924514069564573,0.0008323454649852421,0.008756859534549815,0.0036444930894356277,0.0003010740525731851,0.003945567142008812,0.018807438876365528,0.0018748916247615746,0.020682330501127104,0.01605935518936217,0.0018718343977097555,0.017931189587071926,0.013496951312927045,0.0015902196893096791,0.015087171002236725,0.00017808219178082192,4.1095890410958905e-05,0.00021917808219178083,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,0.0,0.0,0.0
2021-01-26,0.007927440284089912,0.0011571552772978424,0.009084595561387753,0.0036461564819912804,0.0004200066203023715,0.004066163102293652,0.01881177388590255,0.0025858331888330153,0.021397607074735564,0.016066383353558828,0.0026051061955610117,0.01867148954911984,0.013496951312927045,0.002230597174985446,0.015727548487912493,0.0001815068493150685,6.164383561643835e-05,0.00024315068493150686,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
2021-01-27,0.007928740823878951,0.0015157791241254682,0.00944451994800442,0.003646988178269107,0.0005771972168115759,0.004224185395080683,0.01881610889543957,0.0033769724293393447,0.022193081324778915,0.016066383353558828,0.003329007107816724,0.01939539046137555,0.013500015320035542,0.0029567668596991144,0.016456782179734657,0.0001815068493150685,7.191780821917808e-05,0.0002534246575342466,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
2021-01-28,0.007928740823878951,0.0019277251023037112,0.009856465926182662,0.003646988178269107,0.0007601703979334011,0.004407158576202508,0.01881610889543957,0.004298161955956303,0.023114270851395873,0.016066383353558828,0.004160673204421184,0.020227056557980013,0.013500015320035542,0.0037748567576676778,0.01727487207770322,0.0001815068493150685,7.191780821917808e-05,0.0002534246575342466,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
2021-01-29,0.007930366498615251,0.002479479107803694,0.010409845606418944,0.003646988178269107,0.0010013623185030798,0.004648350496772187,0.01882477891451361,0.005633344893358766,0.02445812380787238,0.016068726074957716,0.005303921247077455,0.021372647322035167,0.013500015320035542,0.004678738854674143,0.018178754174709686,0.0001815068493150685,9.931506849315068e-05,0.0002808219178082192,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
2021-01-30,0.007930366498615251,0.002614410110916536,0.010544776609531787,0.003646988178269107,0.0010496007026170155,0.0046965888808861225,0.01882477891451361,0.005988815675394486,0.0248135945899081,0.016068726074957716,0.005594418700539294,0.02166314477549701,0.013500015320035542,0.0048901553451604005,0.018390170665195944,0.0001815068493150685,9.931506849315068e-05,0.0002808219178082192,9.111077703826197e-06,1.3666616555739295e-05,2.2777694259565492e-05,6.794078281369958e-06,0.0,6.794078281369958e-06
