FECHA,TotalA,TotalB,TotalC,Total,<=30A,<=30B,<=30C,<=30,31-40A,31-40B,31-40C,31-40,41-50A,41-50B,41-50C,41-50,51-60A,51-60B,51-60C,51-60,61-70A,61-70B,61-70C,61-70,71-80A,71-80B,71-80C,71-80,81-90C,>=91C,>=81A,>=81B,>=81
2021-05-31,0.28283684143103593,0.09057446793291556,0,0.3734113093639515,0.024446048694153674,0.017346689266626854,0,0.04179273796078053,0.12488728975203746,0.09769377492630484,0,0.2225810646783423,0.16669399841632032,0.09430390719074906,0,0.26099790560706937,0.38737935472010293,0.10006128014216993,0,0.4874406348622729,0.8477979452054795,0.0935,0,0.9412979452054795,0.9470145276133988,0.27870786696004335,0,1.2257223945734421,0,0,0.8823673286363606,0.34821689415505447,1.230584222791415
2021-06-01,0.2895772140226801,0.09156320330753279,0,0.3811404173302129,0.024782885686673396,0.0173857789916847,0,0.0421686646783581,0.1269225767296688,0.09786934281255419,0,0.224791919542223,0.20040107390348924,0.09445149863887886,0,0.29485257254236813,0.40169745993810707,0.10019609645494378,0,0.5018935563930508,0.8485513698630137,0.09375342465753425,0,0.9423047945205479,0.9472878599445136,0.2804435272626223,0,1.2277313872071358,0,0,0.8826798562373036,0.36418977219455523,1.2468696284318588
2021-06-02,0.296076986753352,0.09223200589404633,0,0.3883089926473983,0.02583082299673476,0.017397422739574273,0,0.04322824573630903,0.13621683717704178,0.09793653546037802,0,0.2341533726374198,0.22216027025634058,0.09451475211664878,0,0.31667502237298933,0.4158072126727334,0.10027269663265619,0,0.5160799093053896,0.8498390410958904,0.09395890410958904,0,0.9437979452054794,0.9477935247570759,0.2815778564367486,0,1.2293713811938245,0,0,0.8831078831690299,0.37540679543709704,1.258514678606127
2021-06-03,0.3060592799041242,0.09273791587198267,0,0.3987971957761069,0.032513502589070514,0.017417383450242106,0,0.049930886039312616,0.16477371250216752,0.09800372810820183,0,0.26277744061036934,0.24003523452983924,0.09463188818659307,0,0.33466712271643234,0.4200968226246285,0.10037687287434507,0,0.5204736954989736,0.8509349315068493,0.09421575342465753,0,0.9451506849315069,0.9481853010983404,0.2825208529790946,0,1.230706154077435,0,0,0.8834883515527866,0.38311807428645195,1.2666064258392384
2021-06-04,0.3152196319082235,0.09318757750404305,0,0.40840720941226655,0.03793366723166567,0.017455641479022125,0,0.0553893087106878,0.1853324952314895,0.0981012658227848,0,0.2834337610542743,0.25666621374052956,0.0948099350129084,0,0.35147614875343797,0.4273554554646567,0.10051168918711892,0,0.5278671446517756,0.8578732876712328,0.0949041095890411,0,0.952777397260274,0.9503674042084068,0.2841471803492276,0,1.2345145845576344,0,0,0.8848403731307792,0.3872896383512131,1.2721300114819922
2021-06-05,0.32180719107465555,0.09355530512939396,0,0.41536249620404947,0.04215535753791287,0.017468948619467347,0,0.05962430615738022,0.20430683197503036,0.09814895092769205,0,0.3024557829027224,0.2650718981197318,0.09487084576927943,0,0.3599427438890112,0.43155314520329685,0.10062199344302479,0,0.5321751386463217,0.8616369863013699,0.09598630136986301,0,0.9576232876712328,0.9514242892220506,0.28509928796927747,0,1.236523577191328,0,0,0.8858051322467337,0.39072744196158626,1.27653257420832
2021-06-06,0.32752403885232567,0.09376924392469094,0,0.4212932827770166,0.04804626227375782,0.017469780315745174,0,0.065516042589503,0.22142578463672621,0.09814895092769205,0,0.31957473556441823,0.2689514447562867,0.0948755312120772,0,0.3638269759683639,0.43399515886876855,0.10064037748567577,0,0.5346355363544444,0.8619931506849315,0.09617808219178083,0,0.9581712328767124,0.9515655109264599,0.2858236186467316,0,1.2373891295731916,0,0,0.885900249342673,0.39367607193570087,1.2795763212783737
2021-06-07,0.3362714694734049,0.09408657563321657,0,0.4303580451066215,0.05337410862951424,0.0175113651296365,0,0.07088547375915073,0.23431593549505808,0.09841555401421884,0,0.33273148950927695,0.28383943924620597,0.0950910615807747,0,0.37893050082698065,0.4559855378864479,0.10081196188375156,0,0.5567974997701994,0.8645102739726027,0.09634931506849315,0,0.9608595890410959,0.9524128411529158,0.28656161594074153,0,1.2389744570936574,0,0,0.8865660690142472,0.39668584861434775,1.2832519176285948
2021-06-08,0.34531932478575234,0.09470335662816852,0,0.44002268141392087,0.055445864057579994,0.017521345484970415,0,0.07296720954255041,0.24166811166984567,0.09845240159528351,0,0.3401205132651292,0.2920975321772784,0.09511683151616243,0,0.38721436369344087,0.5111621778962527,0.1008732420259215,0,0.6120354199221743,0.8653835616438356,0.09666780821917809,0,0.9620513698630137,0.9528911727323667,0.28847949779739696,0,1.2413706705297636,0,0,0.8869193610848785,0.4056744141806002,1.2925937752654786
2021-06-09,0.35357157488215485,0.09483145979738891,0,0.44840303467954373,0.056010585830224176,0.017522177181248242,0,0.07353276301147242,0.24454439049765908,0.09845890410958905,0,0.34300329460724815,0.29505873202547006,0.09512620240175798,0,0.39018493442722807,0.5780004289609952,0.10089162606857248,0,0.6788920550295676,0.8660684931506849,0.09675342465753424,0,0.9628219178082191,0.9531553939857776,0.28886671859980956,0,1.2420221125855873,0,0,0.8871843301378518,0.40750881531657007,1.294693145454422
