FECHA,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total,DelayCount,CumDelay,DelayAvg
2020-10-01,1,0,1,0,0,0,1,0,1,1,0,1,6,4,10,3,4,7,2,3,5,1,2,3,15,13,28,27,349,12.925925925925926
2020-10-02,0,0,0,0,0,0,0,1,1,1,0,1,3,2,5,3,6,9,2,3,5,2,2,4,11,14,25,25,478,19.12
2020-10-03,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,2,2,1,0,1,7,2,9,9,198,22.0
2020-10-04,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,2,2,4,3,1,4,0,1,1,9,4,13,12,114,9.5
2020-10-05,0,0,0,0,0,0,2,0,2,1,0,1,3,2,5,3,3,6,3,5,8,0,2,2,12,12,24,24,261,10.875
2020-10-06,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2,1,3,7,2,9,1,0,1,11,5,16,15,181,12.066666666666666
2020-10-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,6,4,4,8,0,1,1,6,10,16,16,216,13.5
2020-10-08,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,7,10,5,5,10,1,2,3,12,15,27,26,226,8.692307692307692
2020-10-09,0,0,0,0,0,0,1,0,1,3,1,4,3,1,4,4,1,5,5,4,9,0,1,1,16,8,24,22,300,13.636363636363637
2020-10-10,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,4,3,7,3,2,5,0,0,0,11,5,16,14,253,18.071428571428573
2020-10-11,0,0,0,1,0,1,1,1,2,1,0,1,0,1,1,2,3,5,2,1,3,1,0,1,8,6,14,13,187,14.384615384615385
2020-10-12,0,0,0,0,0,0,1,0,1,2,0,2,1,1,2,3,1,4,2,2,4,0,0,0,9,4,13,13,227,17.46153846153846
2020-10-13,0,0,0,0,0,0,0,0,0,3,0,3,4,2,6,3,1,4,3,6,9,0,0,0,13,9,22,22,491,22.318181818181817
2020-10-14,1,0,1,0,0,0,1,0,1,2,0,2,1,1,2,3,4,7,3,3,6,1,2,3,12,10,22,19,254,13.368421052631579
2020-10-15,0,0,0,0,0,0,2,0,2,0,2,2,1,1,2,3,1,4,3,3,6,0,1,1,9,8,17,17,276,16.235294117647058
2020-10-16,0,0,0,0,0,0,1,0,1,1,0,1,3,2,5,2,1,3,4,3,7,1,6,7,12,12,24,24,345,14.375
2020-10-17,0,1,1,0,0,0,0,2,2,0,1,1,3,1,4,3,1,4,5,0,5,1,2,3,12,8,20,19,275,14.473684210526315
2020-10-18,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,2,1,3,0,1,1,0,1,1,5,4,9,8,205,25.625
2020-10-19,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,3,3,6,0,3,3,0,0,0,4,8,12,12,229,19.083333333333332
2020-10-20,0,0,0,1,0,1,0,1,1,1,0,1,1,1,2,2,1,3,6,2,8,1,0,1,12,5,17,16,238,14.875
2020-10-21,0,0,0,0,0,0,0,0,0,1,1,2,3,2,5,2,0,2,1,0,1,0,0,0,7,3,10,8,98,12.25
2020-10-22,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,4,1,1,2,0,0,0,4,4,8,8,149,18.625
2020-10-23,0,0,0,0,0,0,0,0,0,1,0,1,3,2,5,2,4,6,3,3,6,1,1,2,10,10,20,18,301,16.72222222222222
2020-10-24,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,1,3,4,0,2,2,0,1,1,5,6,11,10,346,34.6
2020-10-25,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,1,1,2,3,0,1,1,4,4,8,4,32,8.0
2020-10-26,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,2,3,5,4,3,7,2,1,3,13,7,20,18,268,14.88888888888889
2020-10-27,0,0,0,0,0,0,0,1,1,3,1,4,1,1,2,2,2,4,3,3,6,1,0,1,10,8,18,16,319,19.9375
2020-10-28,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,3,1,4,1,1,2,9,2,11,10,152,15.2
2020-10-29,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,2,0,2,2,1,3,0,0,0,6,2,8,7,179,25.571428571428573
2020-10-30,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,0,1,2,1,3,1,1,2,6,4,10,10,158,15.8
2020-10-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,2,1,3,3,33,11.0
2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,2,2,4,3,63,21.0
2020-11-02,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,8,8.0
2020-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,2,2,0,1,1,1,7,8,8,142,17.75
2020-11-04,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,3,1,1,2,0,1,1,3,5,8,7,98,14.0
2020-11-05,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,2,1,3,0,1,1,1,0,1,6,3,9,9,139,15.444444444444445
2020-11-06,0,0,0,0,0,0,0,1,1,0,0,0,3,0,3,3,1,4,3,2,5,0,1,1,9,5,14,11,131,11.909090909090908
2020-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,2,0,2,0,0,0,2,3,5,3,47,15.666666666666666
2020-11-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,3,1,0,1,5,1,6,5,62,12.4
2020-11-09,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,6,1,7,1,6,7,0,1,1,8,10,18,17,236,13.882352941176471
2020-11-10,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,7,8,0,3,3,0,0,0,5,10,15,14,190,13.571428571428571
2020-11-11,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,1,1,2,0,2,2,1,1,2,4,6,10,10,185,18.5
2020-11-12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,2,2,4,4,53,13.25
2020-11-13,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,3,1,3,4,1,1,2,7,4,11,11,153,13.909090909090908
2020-11-14,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,2,2,4,0,0,0,6,2,8,7,88,12.571428571428571
2020-11-15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,2,3,1,0,1,5,3,8,8,121,15.125
2020-11-16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,4,1,5,0,1,1,7,4,11,11,144,13.090909090909092
2020-11-17,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,2,0,2,1,5,6,0,0,0,8,5,13,11,284,25.818181818181817
2020-11-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,0,1,1,6,1,7,7,97,13.857142857142858
2020-11-19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,3,0,1,1,0,1,1,3,3,6,6,83,13.833333333333334
2020-11-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,4,1,5,0,0,0,6,2,8,8,107,13.375
2020-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,2,1,3,3,18,6.0
