FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,>=81M,>=81F,>=81
2021-01-09,0.002589742790982628,0.0038231844625194883,0.003243871368811625,0.000957231613928623,0.0018236549280819263,0.0013847743025810861,0.006074593878267985,0.00879956361606671,0.007471388937055661,0.005162051367041838,0.008430197155654186,0.006859488255937627,0.004788544788544789,0.006718874134604471,0.0058308055274688235,0.00010376259119135419,7.797785428938182e-05,8.904109589041096e-05,1.177703713299808e-05,5.200517079983953e-05,3.644431081530479e-05,0.0,0.0,0.0
2021-01-10,0.002734425026565458,0.004046346608824346,0.0034301736935915253,0.0010114145354717526,0.0019045564406031208,0.001452141701085031,0.0064703763491068215,0.009442299641843807,0.00799375758626669,0.005425272116636039,0.008890272120810273,0.007224952794163813,0.004995004995004995,0.007059357621155374,0.006109630174342005,0.00011972606675925482,8.397615077318042e-05,9.931506849315068e-05,1.177703713299808e-05,5.943448091410232e-05,4.099984966721789e-05,0.0,0.0,0.0
2021-01-11,0.0031933930753282177,0.004782659075066474,0.004036225235283904,0.0011936661806622795,0.002339402070404541,0.0017590376276030014,0.0076621707556776995,0.011150624341935566,0.00945032079070574,0.006288051240305921,0.0103652183326342,0.008405684379202256,0.005694305694305695,0.008245375099307683,0.0070717284064099025,0.00013568954232715547,0.00010197104022457622,0.00011643835616438356,1.177703713299808e-05,5.943448091410232e-05,4.099984966721789e-05,0.0,0.0,0.0
2021-01-12,0.003605287478064027,0.005456437093717679,0.004587003835942108,0.001352931131864812,0.002663008120489319,0.0019993978518948537,0.008711661352508771,0.012791292618261315,0.010802843766256285,0.007024094447504521,0.01168680622273943,0.009445852680307553,0.006426906426906427,0.009516513449097718,0.008095106780647732,0.00014367128011110578,0.00011396763319217342,0.0001267123287671233,1.177703713299808e-05,5.943448091410232e-05,4.099984966721789e-05,0.0,0.0,0.0
2021-01-13,0.003927880405248711,0.006005146217187041,0.005029512499162778,0.0014826417622256375,0.002964703344266274,0.002213975491574085,0.00944096837742528,0.014165563726008398,0.011862753598057916,0.007652899571535113,0.012746782858148063,0.010298603269501985,0.007046287046287046,0.010390421064578367,0.008851916536446364,0.00015165301789505612,0.00011996592967597202,0.00013356164383561644,1.177703713299808e-05,6.686379102836511e-05,4.5555388519130984e-05,0.0,0.0,0.0
2021-01-14,0.004484457043567352,0.00687817615218187,0.0057539131616577465,0.0017617659035084263,0.0034399997303282918,0.0025899022091516533,0.010739490641301013,0.016229084650871712,0.013553407317496099,0.008720405944889374,0.01453746679115754,0.011741719651215638,0.007865467865467865,0.011843150607195551,0.010013175230566536,0.00015165301789505612,0.00012596422615977063,0.000136986301369863,1.177703713299808e-05,6.686379102836511e-05,4.5555388519130984e-05,0.0,0.0,0.0
2021-01-15,0.005312399406041349,0.008245350839708884,0.006867825490970027,0.0021147758468954827,0.004203507754747065,0.0031454753227397408,0.012816236864691312,0.01949773562406708,0.016241113230449106,0.010221739109241486,0.01730693765984222,0.013901708780988347,0.009237429237429238,0.014033594370673022,0.011827067438796458,0.00015165301789505612,0.00014395911561116643,0.00014726027397260274,1.177703713299808e-05,7.42931011426279e-05,5.0110927371044086e-05,0.0,0.0,0.0
2021-01-16,0.005642607187730393,0.008773215147314606,0.00730285605040372,0.002272398891384587,0.004463066774085897,0.00335339939219636,0.013607801806368985,0.02088892083775567,0.017340038148083926,0.01081154856666553,0.018412019683991646,0.014759144812980551,0.009783549783549783,0.014788332765860855,0.012485828967123204,0.00015165301789505612,0.00014395911561116643,0.00014726027397260274,1.177703713299808e-05,7.42931011426279e-05,5.0110927371044086e-05,0.0,0.0,0.0
2021-01-17,0.005839901145343343,0.00910857144959141,0.007573368326523924,0.002380764734470846,0.004619813454595711,0.0034856391003707703,0.014110312134512677,0.02179805403211143,0.018050979712155368,0.011162509566124464,0.019111153209473937,0.015290942570527627,0.01000999000999001,0.015265009647032118,0.01284738180592579,0.00015165301789505612,0.00014395911561116643,0.00014726027397260274,1.177703713299808e-05,7.42931011426279e-05,5.0110927371044086e-05,0.0,0.0,0.0
2021-01-18,0.005970045931417851,0.00930414486901792,0.007738211744784673,0.002426738122446835,0.004710827656182056,0.0035538381951525414,0.014377131777774813,0.022237820786590496,0.01840645049419109,0.011440353690696122,0.019589270330126342,0.015672806158546014,0.010296370296370297,0.01557711950970378,0.013147654502558446,0.00015165301789505612,0.00014395911561116643,0.00014726027397260274,1.177703713299808e-05,7.42931011426279e-05,5.0110927371044086e-05,0.0,0.0,0.0
2021-01-19,0.006168032148531198,0.009593519959830814,0.007984664034807647,0.002485846764130249,0.0048237526840762225,0.0036395029117686686,0.014741785290233067,0.02296089881558973,0.018954829200624242,0.011903427231648884,0.020247809005741916,0.016237402015677492,0.010769230769230769,0.01607082056520259,0.013631767625700892,0.00016761649346295676,0.00014995741209496502,0.00015753424657534247,1.177703713299808e-05,7.42931011426279e-05,5.0110927371044086e-05,0.0,0.0,0.0
