FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,>=81M,>=81F,>=81
2021-02-02,0.009488108712431942,0.014555199218196788,0.012175328370039986,0.0035711471017062695,0.0069962953849058,0.005261310653530301,0.022030408545343775,0.033561814714426465,0.027941303970868737,0.017884387597428237,0.030297289617190564,0.024331504448827937,0.016776556776556775,0.025428441720576553,0.02144804975947544,0.0027616812732468112,0.002513286226711614,0.00261986301369863,0.000435750373920929,0.00025259654388493487,0.00032344325848583,0.00013295514979613543,1.9596507902291812e-05,5.4352626250959663e-05
2021-02-03,0.010364509239933681,0.01597203361410483,0.013338336076388506,0.003797730228159357,0.007545751490778913,0.005647217726441787,0.023471234618959315,0.03616658702941786,0.029978758453268597,0.01911762555386033,0.03276004384243786,0.026203338846537694,0.018414918414918414,0.02812393598910453,0.023657198884701414,0.004884823523777597,0.004426742805043368,0.004623287671232877,0.0008597237107088599,0.00045318791697003015,0.0006104422061563552,0.00019943272469420315,3.9193015804583623e-05,8.832301765780945e-05
2021-02-04,0.011223603279925514,0.017396225003847094,0.014497117028422647,0.004060435302307864,0.00809015125211945,0.006048927028631976,0.025067705484477766,0.03897010008922191,0.03219394832668632,0.020536092926673525,0.035313008845166735,0.028211051085382823,0.019886779886779886,0.030864828055839292,0.025814259889082942,0.00620979199591335,0.0059263169259930176,0.006047945205479452,0.001319028158895785,0.0007132137709692278,0.0009475520811979245,0.00031022868285764934,6.858777765802134e-05,0.00014267564390876912
2021-02-05,0.012544434406681688,0.019672601512720548,0.016324700566970322,0.004520169182067752,0.009064340298728836,0.0067625224350070946,0.027824841798186516,0.04392170460359678,0.036075949367088606,0.022510248548630034,0.03941759922057888,0.03129172972491765,0.022264402264402263,0.03502440131653615,0.029154027637344117,0.007726322174863911,0.00758784505200523,0.007647260273972603,0.0019196570526786871,0.001025244795768265,0.0013712171944258427,0.00042102464102109557,8.818428556031316e-05,0.00019023419187835883
2021-02-06,0.012851105365357258,0.020166133182433214,0.016730468981150628,0.0046531636258554335,0.009263223183676771,0.006928029994294564,0.02842963298958069,0.04508454938707509,0.03696679382694642,0.023080560172750803,0.040455023161617115,0.03210465405033103,0.022837162837162837,0.03590398365679265,0.029892453350491774,0.007901920406110818,0.0077438007605839946,0.007811643835616438,0.001931434089811685,0.0010326741058825277,0.001380328272129669,0.00042102464102109557,8.818428556031316e-05,0.00019023419187835883
2021-02-07,0.013096165228497554,0.020565863180759498,0.017057554738094047,0.0047418265883805545,0.009414913519654011,0.007047794258301577,0.028932143317724385,0.04608671016410911,0.03772542049592509,0.023621625046916662,0.04132104662544034,0.032814498634193424,0.023223443223443222,0.03653387810691181,0.03041027055182768,0.008029628210654024,0.007869764986743764,0.007938356164383561,0.0019549881640776815,0.0010401034159967905,0.0013939948886854082,0.00042102464102109557,8.818428556031316e-05,0.00019023419187835883
2021-02-08,0.013696354215341162,0.021542504112253013,0.017857386708353302,0.00495199064769936,0.009885153561183455,0.007386294643376953,0.030168407664838953,0.04820943045976769,0.03941607421536327,0.024645261295338554,0.043247046724672195,0.03430681216528368,0.024222444222444222,0.03807172852116672,0.0317002175445047,0.008740002873425603,0.00848758952457502,0.008595890410958904,0.00208453557254066,0.0011218258272536813,0.0014942167434274962,0.0004431838326537848,8.818428556031316e-05,0.0001970282701597288
2021-02-09,0.014381691120733519,0.02272268853982678,0.018805155079615794,0.005183499494292732,0.010461576837896966,0.007788003945567142,0.031511399869258376,0.05061123350346105,0.0413018033639674,0.025751763335299365,0.04532189460674867,0.03591626176631823,0.025427905427905427,0.04035864260583362,0.03348959769586665,0.00969781140749964,0.009357342514725819,0.009503424657534247,0.002249414092402633,0.0011738309980535207,0.0015898830593176715,0.0005539797908172309,8.818428556031316e-05,0.00023099866156657856
2021-02-10,0.014752049953445548,0.023349872264194552,0.019311715327446657,0.005316493938080414,0.010736304890833522,0.007990937837356802,0.03208950909632634,0.05197704755823738,0.04228368302410265,0.026458559792543055,0.04650365579175744,0.03686974937566475,0.026147186147186148,0.041521961184882536,0.034448631920826055,0.01016873393675271,0.009735235193205129,0.009921232876712328,0.002355407426599616,0.0012258361688533602,0.001662771680948281,0.0006204573657152987,8.818428556031316e-05,0.00025138089641068846
2021-02-11,0.015063566728623893,0.023997287721606447,0.019801368558020005,0.005433069314733814,0.011038000114610477,0.008198861906813423,0.03272987624015547,0.0534316606692066,0.04334142535113577,0.02693138225014745,0.04770345913226253,0.03772015724346029,0.026613386613386615,0.04264555669050051,0.035269785825903115,0.010615711252653927,0.010101131278716844,0.010321917808219177,0.0024849548350625947,0.0012852706497674625,0.0017493269191346298,0.0006426165573479879,8.818428556031316e-05,0.0002581749746920584
